Monit_MAP_CODE1,Year,GARAGE_mean,BASEMENT_mean,OTHER_COOLING,UNKNOWN_COOLING,FORCED AIR_COOLING,N_COOLING,Y_COOLING,1 AC UNIT_COOLING,A/CON_COOLING,CENTRAL W/AIR COND_COOLING,1_COOLING,0_COOLING,CONDOMINIUM,UNKNOWN_DWELL_TYPE,OTHER_DWELL,SINGLE-FAMILY / OWNER OCCUPIED,TOWNHOUSE,S.FAM.RES
10001100-01,2011,0.8961384820239681,0.0,0.007989347536617843,0.13448735019973368,0.0,0.0,0.0,0.8575233022636485,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82013700-01,2011,0.8477611940298507,0.8616915422885573,0.031840796019900496,0.136318407960199,0.0,0.009950248756218905,0.3761194029850746,0.0,0.0,0.445771144278607,0.0,0.0,0.0,0.1383084577114428,0.47562189054726367,0.38606965174129354,0.0,0.0
82008700-01,2013,0.8125,0.8217592592592593,0.0,0.17824074074074073,0.0,0.03009259259259259,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.17824074074074073,0.0,0.75,0.07175925925925926,0.0
19002100-01,2007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052703440742763515,0.04669579464773348,0.0,0.2856362643364282,0.6149645002730748
70002600-01,2008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19002700-01,2012,0.0,0.0,0.023694130317716746,0.09693053311793215,0.8793753365643511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07862143241787829,0.05977382875605816,0.0,0.11308562197092084,0.7485191168551427
19002100-01,2009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05188421627525942,0.04642271982523211,0.0,0.2867285636264336,0.6149645002730748
19002500-01,2009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03292528493035036,0.013929928239763613,0.0,0.010975094976783452,0.9421696918531026
82008900-01,2011,0.7769591426657736,0.8452779638312123,0.0,0.15472203616878769,0.0,0.0006697923643670462,0.8446081714668453,0.0,0.0,0.0,0.0,0.0,0.14400535833891492,0.15472203616878769,0.0,0.30274614869390487,0.3985264567983925,0.0
19044600-01,2004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03520375506720717,0.007680819287390655,0.0,0.0541924471943674,0.9029229784510348
82008900-01,2006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82012200-01,2010,0.7138728323699421,0.7601156069364162,0.0,0.28901734104046245,0.0,0.0,0.7109826589595376,0.0,0.0,0.0,0.0,0.0,0.0,0.2398843930635838,0.005780346820809248,0.7543352601156069,0.0,0.0
19034800-01,2011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019842627437564146,0.09647622305850154,0.0,0.36212795073554566,0.5215531987683887
19003100-01,2010,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2620387742338962,0.001876172607879925,0.0,0.09380863039399624,0.6422764227642277
82009700-01,2012,0.775830258302583,0.9191266912669127,0.0012300123001230013,0.08087330873308733,0.0,0.04151291512915129,0.8757687576875769,0.0,0.0,0.0006150061500615006,0.0,0.0,0.0006150061500615006,0.08087330873308733,0.004920049200492005,0.5956334563345633,0.31795817958179584,0.0
82013700-01,2007,0.018090452261306532,0.48040201005025124,0.036180904522613064,0.5175879396984925,0.0,0.0,0.0,0.0,0.4462311557788945,0.0,0.0,0.0,0.0,0.5185929648241207,0.4814070351758794,0.0,0.0,0.0
82009700-01,2011,0.769680196801968,0.9129766297662977,0.0012300123001230013,0.08702337023370234,0.0,0.04212792127921279,0.8690036900369004,0.0,0.0,0.0006150061500615006,0.0,0.0,0.0006150061500615006,0.08702337023370234,0.004920049200492005,0.5931734317343174,0.31426814268142683,0.0
19002300-01,2009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038778625954198474,0.0006106870229007634,0.0,0.16977099236641222,0.7908396946564885
27071100-01,2009,0.6483820047355959,0.05169692186266772,0.0,0.44554064719810577,0.5544593528018943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19002700-01,2006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10015814443858724,0.05693199789140749,0.0,0.11070110701107011,0.7322087506589352
10012100-01,2005,0.6260162601626016,0.0,0.0,0.6016260162601627,0.0,0.0,0.0,0.3983739837398374,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27071100-01,2007,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
82010400-01,2012,0.782991202346041,0.844574780058651,0.0,0.15542521994134897,0.0,0.0967741935483871,0.7478005865102639,0.0,0.0,0.0,0.0,0.0,0.0,0.15542521994134897,0.0,0.844574780058651,0.0,0.0
19002601-01,2005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20463320463320464,0.019856591285162713,0.0,0.09873138444567016,0.6767788196359625
19002700-01,2010,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09878499735868991,0.05810882197569995,0.0,0.1109350237717908,0.7321711568938193
27005300-01,2012,0.7214032214032214,0.49522249522249523,0.0,0.45850395850395853,0.5414960414960415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27007000-01,2008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
